Product,SKU,Barcode,Brand,Variant,Category,Unit,Stock,Purchase,Selling,MRP,TaxRate,HSN,Supplier,Batch,Expiry,WarrantyMonths
Basmati Rice Premium,SF-001,8901000007919,India Gate,5 kg pack,Staples & Grains,kg,48,86,110,120,5,1006,Shree Distributors,B26001,2027-10-29,
Whole Wheat Atta,SF-002,8901000015838,Aashirvaad,10 kg,Staples & Grains,bag,30,240,285,300,5,1101,Shree Distributors,B26002,2027-03-23,
Toor Dal,SF-003,8901000023757,,Loose,Staples & Grains,kg,25,118,148,160,5,0713,Gupta Wholesale,B26003,2027-05-22,
Moong Dal,SF-004,8901000031676,,Loose,Staples & Grains,kg,18,104,132,145,5,0713,Gupta Wholesale,B26004,2027-05-22,
Sugar,SF-005,8901000039595,,Loose,Staples & Grains,kg,60,38,46,50,5,1701,Gupta Wholesale,B26005,2028-02-06,
Poha,SF-006,8901000047514,,500 g,Staples & Grains,packet,40,32,42,45,5,1904,Gupta Wholesale,B26006,2027-02-21,
Sunflower Oil,SF-007,8901000055433,Fortune,1 L pouch,Oils & Ghee,litre,36,132,162,175,5,1512,Shree Distributors,B26007,2027-04-22,
Mustard Oil,SF-008,8901000063352,Dhara,1 L,Oils & Ghee,litre,22,145,178,190,5,1514,Shree Distributors,B26008,2027-04-12,
Pure Cow Ghee,SF-009,8901000071271,Amul,1 L tin,Oils & Ghee,litre,14,520,620,660,12,0405,Shree Distributors,B26009,2026-10-19,
Groundnut Oil,SF-010,8901000079190,,1 L,Oils & Ghee,litre,10,168,205,220,5,1508,Gupta Wholesale,B26010,2027-04-02,
Turmeric Powder,SF-011,8901000087109,Everest,200 g,Spices,packet,45,34,48,52,5,0910,Gupta Wholesale,B26011,2027-08-10,
Red Chilli Powder,SF-012,8901000095028,Everest,200 g,Spices,packet,38,46,62,68,5,0904,Gupta Wholesale,B26012,2027-08-10,
Garam Masala,SF-013,8901000102947,MDH,100 g,Spices,packet,24,52,72,78,5,0910,Gupta Wholesale,B26013,2027-07-01,
Cumin Seeds,SF-014,8901000110866,,200 g,Spices,packet,20,58,78,85,5,0909,Gupta Wholesale,B26014,2027-07-21,
Salt (Iodised),SF-015,8901000118785,Tata,1 kg,Spices,packet,70,18,24,26,0,2501,Shree Distributors,B26015,2028-02-06,
Aloo Bhujia,SF-016,8901000126704,Haldiram,200 g,Snacks,packet,55,38,52,55,12,2106,Gupta Wholesale,B26016,2026-12-23,
